duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_cre,attack_type
52,icmp,ftp,RSTO,182,157,1,1,0,0,2,1,1,0,0,7,3,r2l
128,udp,smtp,S0,449,1032,1,1,0,4,0,1,3,0,1,8,1,u2r
1001,tcp,finger,S0,2039,7781,1,1,0,0,1,0,2,0,0,5,1,probe
816,udp,ftp,S0,9428,8639,0,1,0,2,1,1,1,0,0,9,1,normal
558,icmp,eco_i,RSTO,9982,8209,0,0,0,0,1,1,0,0,0,6,4,normal
2228,icmp,eco_i,SH,101184,18,1,1,1,5,1,0,3,0,0,5,2,dos
159,icmp,ftp,SF,2927,4348,1,1,0,5,0,0,0,0,0,6,2,probe
1549,tcp,finger,REJ,13449,411,0,1,2,0,0,0,2,0,0,5,3,dos
914,icmp,http,S0,2260,4275,1,0,0,2,1,0,0,0,0,2,4,probe
96,udp,ssh,SF,1445,756,1,0,0,0,1,1,8,1,1,4,0,u2r
177,udp,finger,S0,4368,12180,1,0,0,6,1,0,2,0,0,2,2,probe
512,icmp,ftp,SF,4915,2796,0,1,1,1,1,0,4,0,0,7,4,probe
3025,tcp,eco_i,SH,28794,13,1,0,1,6,1,0,1,0,0,9,3,dos
2903,icmp,telnet,S0,119672,202,1,1,1,3,1,0,3,0,0,6,2,dos
3660,udp,ssh,SH,39378,469,0,1,0,3,1,0,1,0,0,8,1,dos
834,tcp,ssh,REJ,4681,10735,1,0,1,0,1,0,2,0,0,8,0,probe
2554,udp,eco_i,SH,17604,42,1,0,1,0,1,0,2,0,0,6,0,dos
30,udp,telnet,SF,295,258,1,1,0,2,2,0,4,0,0,5,0,r2l
222,tcp,smtp,S0,788,561,1,0,0,2,0,1,7,0,0,3,1,u2r
954,icmp,telnet,S0,4222,10671,0,1,0,5,0,1,1,0,0,0,4,normal
624,tcp,ssh,RSTR,2339,19585,1,0,0,6,1,1,3,0,0,3,0,probe
339,udp,ssh,RSTO,4278,11877,1,1,1,0,0,1,1,0,0,5,1,probe
53,udp,ssh,REJ,634,45,1,1,0,0,3,1,5,0,0,8,2,r2l
461,tcp,ssh,REJ,551,9965,0,1,0,5,1,0,2,0,0,4,1,probe
265,udp,finger,S0,514,910,1,1,0,1,1,1,3,1,0,7,3,u2r
1046,icmp,dns,S0,11566,332,0,0,0,6,0,1,0,0,0,3,3,normal
150,udp,dns,REJ,149,76,1,0,0,6,5,1,3,0,0,2,2,r2l
3160,tcp,telnet,S0,38946,39,1,0,2,5,0,0,5,0,0,5,2,dos
1089,tcp,ftp,REJ,48898,289,1,0,1,6,1,0,3,0,0,2,4,dos
569,tcp,smtp,REJ,1649,12675,1,1,1,5,1,0,1,0,0,0,4,probe
3328,icmp,dns,RSTO,28706,399,1,0,1,6,0,0,5,0,0,3,1,dos
544,icmp,smtp,SH,3727,10584,0,1,0,6,1,1,1,0,0,2,0,normal
509,icmp,dns,S0,5209,2202,0,0,0,6,0,0,3,0,0,4,2,probe
39,tcp,ssh,SF,361,431,0,0,0,4,4,0,5,0,0,3,3,r2l
1024,tcp,finger,SF,7309,4065,0,0,0,4,1,1,0,0,0,8,3,probe
868,icmp,finger,RSTR,954,2565,0,0,0,6,1,1,1,0,0,0,4,normal
137,udp,telnet,S0,8604,18695,1,1,1,4,1,0,1,0,0,6,0,probe
225,tcp,ssh,SH,7777,16462,1,0,0,3,1,0,4,0,0,5,0,probe
4043,tcp,finger,SF,128947,271,0,0,0,4,0,0,2,0,0,5,4,dos
161,tcp,telnet,SH,1165,1117,1,0,0,2,0,1,7,1,1,7,3,u2r
508,icmp,eco_i,RSTR,3430,2612,1,1,0,2,1,0,4,0,0,4,1,probe
699,udp,finger,RSTR,3410,2846,1,1,1,4,1,1,0,0,0,4,4,probe
99,tcp,smtp,RSTO,1949,11428,0,0,0,6,0,1,4,0,0,8,3,probe
64,tcp,ftp,REJ,6367,1870,0,1,0,0,1,0,4,0,0,7,3,probe
1891,icmp,eco_i,SH,52376,110,1,0,0,3,1,0,1,0,0,6,2,dos
4072,tcp,dns,RSTO,137897,15,1,0,2,6,1,0,0,0,0,4,3,dos
1797,udp,ssh,SH,114147,3,0,2,2,2,0,0,2,0,0,1,1,dos
3976,icmp,smtp,S0,134823,151,0,2,2,0,1,0,4,0,0,8,3,dos
3495,udp,dns,REJ,52908,90,0,0,1,3,1,0,4,0,0,9,2,dos
1603,tcp,eco_i,SF,125063,165,1,0,2,2,0,0,3,0,0,8,4,dos
852,udp,telnet,RSTR,668,8603,1,1,0,1,0,0,2,0,0,9,2,probe
1440,udp,http,REJ,1996,4908,0,0,0,5,0,1,1,0,0,2,0,normal
2405,tcp,ssh,S0,47502,371,1,0,1,5,1,0,5,0,0,4,0,dos
821,icmp,smtp,SF,134132,154,1,1,0,5,0,0,3,0,0,5,0,dos
245,icmp,dns,SF,3276,16956,1,1,0,4,1,0,4,0,0,2,1,probe
72,udp,finger,SH,22,189,1,0,0,0,3,1,4,0,0,0,3,r2l
940,icmp,http,S0,5894,14684,0,1,1,3,0,0,3,0,0,9,0,probe
129,udp,telnet,SF,4137,9558,0,0,0,5,1,1,2,0,0,6,2,probe
1593,tcp,ssh,REJ,122091,204,1,0,0,1,0,0,1,0,0,8,4,dos
365,tcp,smtp,S0,1531,21285,0,0,1,1,1,1,2,0,0,9,4,probe
208,icmp,telnet,S0,3965,13738,0,1,0,2,1,0,3,0,0,0,4,probe
258,udp,finger,S0,1560,11805,1,0,1,6,0,0,4,0,0,0,0,probe
3765,icmp,eco_i,RSTO,84200,315,0,0,1,4,0,0,5,0,0,0,2,dos
168,udp,http,RSTO,214,640,1,1,0,4,4,1,6,0,0,3,1,r2l
218,icmp,ftp,SH,674,630,0,1,0,3,3,0,5,0,0,5,3,r2l
201,icmp,finger,REJ,439,373,1,1,0,2,2,0,4,0,0,4,1,r2l
319,icmp,smtp,S0,5731,12115,1,0,1,5,1,0,0,0,0,7,0,probe
293,tcp,telnet,SH,561,726,1,0,0,3,5,0,1,0,0,4,3,r2l
830,tcp,telnet,RSTO,6613,10888,0,1,0,5,0,1,1,0,0,4,1,normal
1126,tcp,telnet,S0,8885,8042,1,1,0,0,1,1,0,0,0,6,4,normal
3186,icmp,ssh,SF,104134,334,0,0,2,5,1,0,0,0,0,1,2,dos
167,tcp,finger,REJ,212,575,1,1,0,1,4,0,3,0,0,1,0,r2l
147,udp,http,SH,225,429,0,1,0,6,5,0,3,0,0,0,2,r2l
405,tcp,eco_i,SH,144,21,0,1,0,4,5,0,6,0,0,9,4,r2l
1146,udp,finger,SH,111294,377,1,1,0,2,1,0,1,0,0,0,4,dos
407,udp,dns,RSTO,10727,7170,0,1,0,5,1,1,1,0,0,9,3,normal
714,udp,finger,REJ,72194,50,0,0,0,2,1,0,5,0,0,7,1,dos
996,udp,dns,REJ,631,8250,0,0,0,0,1,1,0,0,0,4,3,normal
835,icmp,smtp,RSTO,1309,15174,0,1,0,4,1,1,0,0,0,3,3,normal
220,tcp,ftp,S0,1061,570,1,1,0,2,0,1,4,1,1,5,4,u2r
43,icmp,ssh,SF,4882,5250,0,1,1,0,0,0,3,0,0,5,4,probe
3175,udp,dns,SH,95895,351,0,1,0,4,1,0,4,0,0,8,1,dos
1306,icmp,dns,REJ,89345,348,0,0,2,4,1,0,1,0,0,3,2,dos
497,udp,telnet,SF,607,6895,1,1,1,2,1,0,4,0,0,0,1,probe
2608,icmp,telnet,S0,48080,62,1,1,0,5,0,0,3,0,0,5,1,dos
1866,icmp,ftp,REJ,85891,55,0,2,2,1,0,0,0,0,0,5,1,dos
331,icmp,telnet,S0,5707,20120,1,0,0,4,1,0,2,0,0,1,3,probe
149,tcp,finger,SF,2795,1147,1,1,0,1,1,1,0,0,0,2,4,probe
198,icmp,http,RSTR,1684,366,1,1,0,6,0,1,7,0,0,9,4,u2r
1109,tcp,http,RSTO,55009,196,0,1,2,4,0,0,0,0,0,7,4,dos
782,tcp,finger,RSTO,131961,119,0,1,1,4,0,0,4,0,0,6,4,dos
3915,icmp,finger,SH,163307,272,0,2,0,5,1,0,4,0,0,8,3,dos
329,icmp,eco_i,RSTO,3827,4044,1,1,1,3,0,0,4,0,0,9,3,probe
640,tcp,dns,REJ,12067,4332,1,0,0,6,0,1,0,0,0,6,4,normal
3763,tcp,ssh,S0,62140,36,1,0,0,5,0,0,2,0,0,5,1,dos
2290,tcp,ssh,RSTR,96146,230,1,0,2,3,0,0,0,0,0,7,0,dos
950,udp,telnet,RSTR,9295,10364,0,1,0,0,0,1,1,0,0,2,4,normal
288,tcp,ftp,RSTR,566,18522,1,1,1,5,1,0,0,0,0,5,4,probe
398,icmp,finger,REJ,5860,3846,1,0,1,4,1,0,4,0,0,0,4,probe
483,tcp,eco_i,S0,7705,3898,0,0,0,2,0,1,2,0,0,5,3,normal
3462,tcp,ftp,RSTR,82952,125,1,0,2,5,0,0,0,0,0,7,3,dos
4596,tcp,finger,RSTR,91457,126,0,2,1,1,0,0,3,0,0,8,2,dos
445,tcp,finger,S0,831,1555,0,0,0,6,0,1,8,0,0,6,4,u2r
138,tcp,http,RSTR,326,454,0,0,0,0,1,1,4,1,1,2,3,u2r
1181,tcp,ftp,S0,4785,12866,0,1,0,0,0,0,4,0,0,6,0,probe
1674,udp,ftp,SF,51099,275,0,2,0,3,1,0,2,0,0,5,0,dos
6,icmp,ftp,RSTR,261,564,1,0,0,5,3,1,6,0,0,7,3,r2l
688,udp,smtp,S0,1181,13219,1,0,0,1,1,1,1,0,0,7,4,probe
353,icmp,finger,S0,611,108,1,0,0,0,0,1,9,0,1,3,1,u2r
1017,tcp,smtp,REJ,3380,1196,1,1,0,5,1,0,1,0,0,2,3,probe
294,tcp,smtp,REJ,1166,1657,0,1,0,4,0,1,7,1,0,2,4,u2r
761,udp,ftp,SH,247,3009,1,1,0,5,0,1,1,0,0,1,4,normal
364,tcp,telnet,S0,2492,5183,0,1,0,4,0,0,4,0,0,3,2,probe
1412,icmp,smtp,RSTR,111757,368,1,0,1,3,0,0,0,0,0,4,0,dos
315,icmp,http,REJ,2757,9192,0,0,0,0,1,1,1,0,0,6,0,normal
501,udp,telnet,S0,2404,11459,0,1,0,2,0,1,2,0,0,1,1,probe
3763,tcp,smtp,RSTR,116066,120,1,0,0,3,1,0,1,0,0,8,2,dos
1581,udp,ssh,REJ,75187,60,1,2,2,0,0,0,2,0,0,4,1,dos
2284,icmp,ssh,SH,29354,204,0,0,2,2,0,0,3,0,0,7,4,dos
154,icmp,eco_i,REJ,508,838,1,1,0,6,2,0,2,0,0,9,4,r2l
902,udp,ftp,RSTO,11909,10713,1,1,0,1,0,1,1,0,0,8,1,normal
779,tcp,smtp,S0,4609,8204,1,0,0,1,1,0,1,0,0,7,1,probe
1057,tcp,finger,REJ,3958,16471,0,1,0,0,1,1,2,0,0,8,4,normal
2811,icmp,http,SF,107064,183,1,1,2,0,0,0,5,0,0,8,2,dos
232,icmp,finger,RSTO,4140,3114,1,0,1,2,0,1,1,0,0,2,2,probe
1080,icmp,dns,S0,5018,10919,1,1,0,3,1,0,1,0,0,0,1,probe
175,udp,ftp,SF,23,173,1,0,0,3,2,0,2,0,0,2,2,r2l
3575,udp,telnet,S0,51242,182,1,0,2,1,0,0,5,0,0,6,2,dos
909,tcp,eco_i,SF,1068,4440,1,0,0,5,0,0,1,0,0,4,2,probe
124,icmp,telnet,RSTR,10060,10246,0,0,0,0,0,1,0,0,0,4,4,normal
32,udp,smtp,SF,402,275,0,0,0,1,5,0,6,0,0,3,4,r2l
2181,icmp,smtp,S0,156045,103,0,1,0,2,1,0,3,0,0,6,2,dos
521,icmp,dns,S0,4128,13500,0,0,1,1,0,0,1,0,0,7,0,probe
3393,tcp,ssh,SH,27079,82,1,1,2,2,1,0,5,0,0,4,4,dos
169,tcp,dns,RSTO,2147,4087,1,0,1,5,0,1,2,0,0,3,3,probe
2839,udp,ftp,SF,174148,60,1,0,2,3,0,0,3,0,0,8,0,dos
836,tcp,finger,S0,2116,1677,0,1,0,2,1,1,0,0,0,0,4,normal
190,udp,http,REJ,245,902,1,0,0,3,2,0,2,0,0,5,3,r2l
125,udp,finger,RSTO,513,696,0,0,0,4,5,1,6,0,0,4,4,r2l
1047,udp,eco_i,SF,88153,231,1,0,0,5,0,0,5,0,0,1,4,dos
1280,icmp,smtp,S0,5674,15428,1,0,0,4,0,1,0,0,0,7,1,normal
492,icmp,eco_i,RSTR,1018,4718,0,1,1,4,1,0,3,0,0,8,4,probe
2564,icmp,smtp,REJ,23195,362,0,2,2,0,1,0,5,0,0,1,3,dos
379,tcp,http,RSTR,1035,11454,0,0,1,6,1,0,1,0,0,0,2,probe
1130,udp,http,S0,9033,256,1,1,0,5,1,1,0,0,0,3,3,normal
668,udp,finger,REJ,1015,9239,0,1,0,3,0,0,3,0,0,3,2,probe
1655,icmp,smtp,SF,13269,13816,0,1,0,2,0,1,1,0,0,7,1,normal
188,udp,finger,SF,5147,6878,1,1,0,5,0,1,2,0,0,6,1,probe
73,tcp,ssh,RSTO,407,606,0,1,0,5,4,1,3,0,0,6,3,r2l
526,tcp,eco_i,RSTO,3589,3619,1,0,1,3,1,0,2,0,0,5,3,probe
1000,udp,smtp,SH,9464,2135,0,1,0,2,0,1,1,0,0,5,1,normal
2245,tcp,smtp,SF,103533,206,1,1,1,3,0,0,1,0,0,5,4,dos
1134,tcp,ssh,SF,60301,304,0,0,2,5,0,0,0,0,0,5,2,dos
278,tcp,finger,S0,499,796,0,0,0,3,5,0,5,0,0,6,4,r2l
309,icmp,ssh,SF,990,9140,0,1,1,6,0,1,3,0,0,9,2,probe
1441,icmp,http,SH,12690,6600,1,0,0,3,0,1,0,0,0,2,0,normal
234,icmp,telnet,SH,2656,4019,0,1,1,6,1,1,3,0,0,7,0,probe
2000,icmp,telnet,SF,58925,129,0,0,2,5,0,0,1,0,0,2,2,dos
201,tcp,ssh,RSTR,4822,8913,0,1,0,5,0,1,0,0,0,9,0,normal
4580,udp,smtp,SH,46600,295,0,0,2,0,0,0,5,0,0,9,0,dos
1673,tcp,smtp,REJ,69313,142,1,0,0,0,1,0,3,0,0,0,4,dos
1527,udp,eco_i,S0,11650,7289,1,0,0,4,1,1,0,0,0,7,1,normal
494,udp,http,S0,2669,5753,0,1,0,5,1,0,1,0,0,6,3,probe
937,udp,smtp,S0,58848,177,1,1,1,5,0,0,3,0,0,5,3,dos
855,tcp,telnet,REJ,2777,1278,0,0,0,0,0,1,1,0,0,0,4,normal
638,icmp,smtp,RSTO,4453,15047,1,0,1,3,1,0,4,0,0,3,4,probe
175,udp,ftp,SF,666,1265,0,1,0,2,0,1,5,1,1,1,4,u2r
838,udp,http,RSTR,3114,6125,0,0,0,1,1,0,1,0,0,4,3,probe
736,tcp,finger,SH,10335,1940,1,0,0,6,0,1,1,0,0,7,1,normal
512,udp,finger,REJ,12057,10789,1,1,0,6,1,1,1,0,0,2,0,normal
700,icmp,smtp,REJ,5149,3926,0,1,0,3,1,1,3,0,0,3,2,probe
450,tcp,dns,RSTO,616,1270,1,1,0,0,0,1,5,0,1,7,2,u2r
327,tcp,ssh,REJ,995,240,1,1,0,3,1,1,8,1,1,4,4,u2r
2693,tcp,finger,SF,47149,190,0,2,0,3,0,0,4,0,0,3,2,dos
213,udp,ftp,RSTO,8326,15449,1,1,1,3,1,0,3,0,0,6,3,probe
988,icmp,eco_i,RSTO,2282,10638,0,0,0,4,0,0,3,0,0,3,0,probe
185,tcp,ftp,SF,810,1024,1,0,0,0,1,1,4,0,1,2,2,u2r
139,tcp,ssh,SH,5314,6944,1,1,0,5,1,1,1,0,0,8,1,probe
230,tcp,dns,S0,7785,15383,1,1,0,2,0,1,0,0,0,4,2,normal
2549,udp,finger,REJ,105220,55,1,0,0,4,1,0,2,0,0,6,2,dos
85,udp,smtp,RSTO,104,1523,1,1,0,4,1,1,8,1,1,6,4,u2r
891,icmp,smtp,REJ,695,15616,0,1,0,6,1,0,3,0,0,3,3,probe
1005,icmp,finger,S0,164414,215,1,0,1,0,0,0,0,0,0,5,4,dos
181,tcp,smtp,RSTO,236,179,1,0,0,0,4,1,4,0,0,5,4,r2l
273,tcp,finger,SF,690,587,0,1,0,0,0,1,6,1,1,1,3,u2r
988,icmp,telnet,RSTO,114661,17,0,0,1,5,1,0,4,0,0,5,2,dos
830,tcp,smtp,REJ,3964,2940,0,0,0,2,1,1,1,0,0,4,0,probe
937,udp,ssh,SF,5625,15868,1,0,0,2,1,1,0,0,0,3,1,probe
1043,tcp,dns,SF,821,15618,0,0,1,4,0,0,2,0,0,0,2,probe
1368,udp,finger,REJ,1044,6373,1,0,0,2,0,1,1,0,0,7,0,normal
324,udp,smtp,SH,429,661,0,1,0,2,0,1,8,0,1,2,1,u2r
598,tcp,eco_i,SH,10339,2093,1,0,0,2,0,1,0,0,0,3,3,normal
772,tcp,telnet,RSTR,2222,9058,0,0,1,1,1,1,1,0,0,5,3,probe
250,icmp,ssh,S0,4619,19677,0,1,1,5,1,1,3,0,0,5,2,probe
1677,udp,smtp,SH,109233,85,0,2,0,2,0,0,2,0,0,2,4,dos
56,udp,telnet,SH,440,6895,0,0,1,2,0,1,3,0,0,6,2,probe
1760,icmp,finger,SF,80791,118,1,0,0,1,1,0,0,0,0,5,1,dos
131,udp,eco_i,S0,350,118,0,0,0,2,1,1,9,1,1,5,3,u2r
3232,tcp,smtp,SF,110828,91,0,2,1,2,0,0,3,0,0,2,4,dos
93,tcp,http,SH,432,424,0,0,0,6,3,0,2,0,0,5,2,r2l
854,udp,ssh,RSTR,6987,1330,0,0,0,3,0,0,1,0,0,5,1,probe
1059,tcp,http,RSTO,2081,5646,0,1,0,5,1,1,1,0,0,1,4,normal
23,tcp,http,SH,550,272,0,1,0,0,4,1,4,0,0,7,3,r2l
627,udp,eco_i,RSTO,3185,5972,1,0,1,6,0,1,2,0,0,7,2,probe
488,tcp,dns,SH,6334,6165,0,1,0,5,0,1,1,0,0,2,3,probe
110,udp,ftp,S0,722,458,1,1,0,4,1,1,3,0,0,1,1,u2r
616,tcp,smtp,SH,1476,9973,0,1,0,0,0,0,3,0,0,6,4,probe
589,tcp,ssh,SF,4048,10677,0,1,0,1,1,0,0,0,0,2,1,probe
369,tcp,smtp,S0,783,15174,0,0,0,0,0,1,1,0,0,1,1,normal
431,icmp,http,REJ,3597,6808,1,1,0,2,0,0,3,0,0,5,0,probe
246,udp,ftp,SF,628,99,1,0,0,4,3,1,2,0,0,6,2,r2l
270,tcp,http,RSTR,589,20350,0,1,1,1,1,1,2,0,0,7,1,probe
120,udp,ftp,SH,3710,4982,1,0,0,2,1,0,0,0,0,4,1,probe
716,tcp,ftp,S0,3559,6057,0,1,0,2,1,1,0,0,0,1,4,normal
523,tcp,http,REJ,1057,1354,0,1,0,5,0,1,1,0,0,1,2,probe
3242,udp,ssh,RSTO,23367,444,1,2,0,0,0,0,2,0,0,1,4,dos
99,tcp,http,REJ,5868,9726,1,1,1,2,0,1,4,0,0,1,4,probe
1197,icmp,ssh,REJ,2968,9419,1,0,0,3,0,1,0,0,0,9,4,normal
196,icmp,http,RSTO,482,55,1,1,0,2,5,1,1,0,0,3,1,r2l
417,icmp,http,RSTO,5336,15691,1,1,0,4,0,1,2,0,0,8,4,probe
381,tcp,finger,RSTR,4792,16846,0,1,0,3,1,1,2,0,0,3,0,probe
746,tcp,dns,RSTO,7787,10431,1,1,0,3,0,1,0,0,0,7,2,normal
371,tcp,eco_i,REJ,212,614,0,0,0,2,4,0,3,0,0,3,3,r2l
1608,icmp,eco_i,RSTR,58797,261,1,1,2,2,1,0,3,0,0,8,0,dos
902,tcp,telnet,S0,819,762,0,1,0,0,1,1,0,0,0,9,2,normal
2822,tcp,http,S0,129647,190,1,0,0,5,1,0,3,0,0,1,0,dos
319,tcp,dns,SH,566,1158,1,1,0,0,1,1,7,0,0,2,1,u2r
428,tcp,ftp,SF,5093,5932,0,0,0,3,0,1,1,0,0,4,4,normal
882,udp,ssh,RSTO,4443,9197,0,1,1,6,0,0,2,0,0,7,3,probe
3139,icmp,smtp,RSTR,44301,61,1,0,0,3,1,0,5,0,0,6,4,dos
439,icmp,smtp,REJ,778,1669,0,0,0,3,0,1,4,1,1,5,2,u2r
741,icmp,eco_i,REJ,3893,13585,0,0,1,2,1,0,3,0,0,5,3,probe
303,udp,ftp,SF,1229,215,0,0,0,1,1,1,8,0,1,1,2,u2r
1012,tcp,ftp,RSTR,45651,204,1,1,1,4,0,0,5,0,0,6,4,dos
882,udp,smtp,REJ,3155,6704,1,1,1,4,1,1,0,0,0,3,4,probe
163,tcp,ssh,RSTR,94,434,0,0,0,0,0,1,4,0,1,7,3,u2r
265,udp,ftp,SH,7525,4340,1,1,1,6,0,0,1,0,0,0,1,probe
3541,tcp,dns,RSTO,144103,116,1,2,2,1,0,0,5,0,0,1,3,dos
951,tcp,telnet,SH,4257,20170,0,0,1,0,0,0,4,0,0,1,0,probe
908,icmp,http,RSTO,53531,272,0,2,0,1,1,0,5,0,0,5,2,dos
3821,icmp,dns,S0,77994,83,0,1,1,4,0,0,2,0,0,0,0,dos
